code,601398,601398,601398,601398,601398
data,open,close,high,low,volume
2018-01-03,6.18,6.16,6.32,6.12,3493611.0
2018-01-04,6.18,6.07,6.18,6.06,4351365.0
2018-01-05,6.09,6.08,6.11,6.06,2817842.0
2018-01-08,6.09,6.07,6.1,6.04,2184876.0
2018-01-09,6.07,6.09,6.11,6.04,1671857.0
2018-01-10,6.08,6.16,6.19,6.06,2487389.0
2018-01-11,6.18,6.21,6.24,6.14,1970473.0
2018-01-12,6.2,6.25,6.3,6.2,2188517.0
2018-01-15,6.24,6.43,6.48,6.24,5302095.0
2018-01-16,6.43,6.59,6.59,6.38,3820653.0
2018-01-17,6.64,6.72,6.99,6.64,5885365.0
2018-01-18,6.75,7.13,7.15,6.75,5869909.0
2018-01-19,7.14,7.12,7.2,6.98,4366550.0
2018-01-22,7.04,7.17,7.35,7.01,4691221.0
2018-01-23,7.15,7.49,7.53,7.11,6030551.0
2018-01-24,7.49,7.4,7.66,7.3,5003507.0
2018-01-25,7.33,7.35,7.42,7.13,3875393.0
2018-01-26,7.29,7.37,7.55,7.27,4221498.0
2018-01-29,7.37,7.43,7.69,7.36,3695341.0
2018-01-30,7.4,7.28,7.42,7.21,2465403.0
2018-01-31,7.28,7.48,7.5,7.21,3767759.0
2018-02-01,7.44,7.68,7.7,7.42,4568140.0
2018-02-02,7.6,7.6,7.67,7.44,3322599.0
2018-02-05,7.48,7.75,7.77,7.46,4080189.0
2018-02-06,7.59,7.57,7.65,7.4,6795771.0
2018-02-07,7.57,7.13,7.67,7.0,6369817.0
2018-02-08,7.05,6.82,7.08,6.69,5409203.0
2018-02-09,6.58,6.68,6.72,6.43,6043811.0
2018-02-12,6.64,6.61,6.71,6.52,3544422.0
2018-02-13,6.66,6.8,6.88,6.64,4239094.0
2018-02-14,6.79,6.88,6.9,6.73,1805734.0
2018-02-22,7.03,7.0,7.08,6.96,2546631.0
2018-02-23,7.03,7.01,7.04,6.93,1895043.0
2018-02-26,7.06,7.02,7.17,6.94,2804496.0
2018-02-27,7.0,6.79,7.03,6.71,3437453.0
2018-02-28,6.71,6.67,6.77,6.63,2413871.0
2018-03-01,6.63,6.69,6.76,6.59,1904846.0
2018-03-02,6.61,6.68,6.72,6.58,1636773.0
2018-03-05,6.67,6.62,6.72,6.53,2052887.0
2018-03-06,6.65,6.55,6.68,6.48,4386066.0
2018-03-07,6.59,6.63,6.73,6.58,3933426.0
2018-03-08,6.65,6.55,6.67,6.52,2306817.0
2018-03-09,6.58,6.55,6.61,6.53,1842561.0
2018-03-12,6.6,6.48,6.62,6.45,4415456.0
2018-03-13,6.49,6.5,6.58,6.48,2937149.0
2018-03-14,6.46,6.44,6.5,6.4,1934814.0
2018-03-15,6.41,6.46,6.47,6.4,1519619.0
2018-03-16,6.46,6.36,6.46,6.35,1642283.0
2018-03-19,6.34,6.4,6.41,6.3,1504199.0
2018-03-20,6.35,6.53,6.54,6.34,2514772.0
2018-03-21,6.55,6.49,6.58,6.43,2333607.0
2018-03-22,6.49,6.47,6.49,6.36,1961055.0
2018-03-23,6.34,6.3,6.35,6.15,3544713.0
2018-03-26,6.23,6.02,6.28,5.95,4007328.0
2018-03-27,6.09,5.98,6.13,5.92,3701265.0
2018-03-28,5.92,5.98,6.1,5.9,3762391.0
2018-03-29,6.0,6.09,6.24,5.92,4704740.0
2018-03-30,6.1,6.09,6.15,6.06,2365589.0
2018-04-02,6.08,5.96,6.12,5.93,3005908.0
2018-04-03,5.9,5.88,5.94,5.84,2340767.0
2018-04-04,5.9,5.87,5.94,5.84,1945170.0
2018-04-09,5.88,5.86,5.91,5.85,1584898.0
2018-04-10,5.86,6.12,6.13,5.85,3274888.0
2018-04-11,6.12,6.24,6.3,6.11,3386003.0
2018-04-12,6.22,6.08,6.23,6.05,2074726.0
2018-04-13,6.13,6.03,6.15,6.0,1716561.0
2018-04-16,6.0,5.82,6.0,5.78,3926059.0
2018-04-17,5.82,5.79,5.86,5.75,1976059.0
2018-04-18,5.87,5.88,5.92,5.81,3131491.0
2018-04-19,5.88,5.92,5.98,5.88,2143684.0
2018-04-20,5.9,5.92,5.94,5.82,1919463.0
2018-04-23,5.87,6.02,6.05,5.86,2379811.0
2018-04-24,6.04,6.08,6.23,6.0,5343017.0
2018-04-25,6.03,5.99,6.05,5.95,2085181.0
2018-04-26,5.99,5.95,6.0,5.89,2054017.0
2018-04-27,5.95,6.0,6.03,5.89,2197416.0
2018-05-02,6.06,5.98,6.09,5.96,1718285.0
2018-05-03,5.98,5.95,6.01,5.91,1497655.0
2018-05-04,5.93,5.91,5.96,5.89,1315969.0
2018-05-07,5.91,5.95,5.96,5.85,1916851.0
2018-05-08,5.95,5.98,6.08,5.91,3228419.0
2018-05-09,5.99,5.99,6.0,5.94,1461171.0
2018-05-10,6.01,6.0,6.04,5.95,1525428.0
2018-05-11,6.01,6.07,6.1,5.99,2787789.0
2018-05-14,6.09,6.07,6.15,6.03,2498770.0
2018-05-15,6.08,6.09,6.14,6.05,2043866.0
2018-05-16,6.07,6.0,6.07,5.98,1602063.0
2018-05-17,6.01,5.97,6.01,5.94,1400923.0
2018-05-18,5.95,6.05,6.06,5.93,1442387.0
2018-05-21,6.08,6.03,6.08,5.99,2134080.0
2018-05-22,6.01,5.97,6.02,5.94,1851435.0
2018-05-23,5.95,5.85,5.96,5.85,2531641.0
2018-05-24,5.86,5.77,5.88,5.76,2375144.0
2018-05-25,5.76,5.78,5.8,5.74,1798287.0
